"Mã SP","Tên Sản Phẩm","Brand Sản Phẩm","Giá Thuê","Giá Cọc","Size","Giá nhập","Tổng doanh thu SP","Tỉ lệ hoàn vốn (%)","Ảnh sản phẩm","Trạng Thái","Ảnh phụ"
"AD001","AD35 Thủy Nhu","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD002","AD30 Sơn Ca","Havana","100.000 đ","200.000 đ","Freesize","","140.000 đ","0,00%","","",""
"AD006","AD66 Trúc Lam","Havana","100.000 đ","200.000 đ","S","","240.000 đ","0,00%","","",""
"AD008","AD63 Minh Châu hồng","Havana","150.000 đ","200.000 đ","M","","0 đ","0,00%","","",""
"AD010","AD61 Thọ dơi hồng","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD003","AD55 Du miên hồng","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD005","AD53 Tâm Giao Hồng","Havana","100.000 đ","200.000 đ","M","","180.000 đ","0,00%","","",""
"AD007","AD12 Hồng gấm","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD009","AD34 Cơ Uyển Hồng","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD004","AD44 Mộc Trà","Havana","100.000 đ","200.000 đ","","","80.000 đ","0,00%","","",""
"AD011","AD70 Như Ý hồng","Havana","100.000 đ","200.000 đ","L","","80.000 đ","0,00%","","",""
"AD012","AD38 Nhã Xuyên","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD013","AD15 Hàn Dũ","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD014","AD26 Yên Dung đỏ","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD015","AD62 Thiên Hương","Havana","100.000 đ","200.000 đ","L","","0 đ","0,00%","","",""
"AD017","AD2 Khởi Cầm Đỏ","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD016","AD37 Đường Dao đỏ","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD019","AD4 Vũ Gia Đỏ","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD021","AD8 Rimmy","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD023","AD11 Khởi Cầm Hồng","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD025","AD20 Wayo Trắng","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD027","AD21 Charme","Havana","100.000 đ","200.000 đ","Freesize","","100.000 đ","0,00%","","",""
"AD029","AD22 Wayo Xanh","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD031","AD24 Bạch Vân","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD033","AD25 Châu Sa","Havana","100.000 đ","200.000 đ","Freesize","","100.000 đ","0,00%","","",""
"AD035","AD28 Bạch Vũ Kem","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD037","AD29 Cơ Uyển Vàng","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD039","AD31 Yên Dung Xanh","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD041","AD33 Cơ Uyển Kem","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD043","AD36 Hân Dư Đỏ","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD018","AD40 Du Miên vàng","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD020","AD41 Thuỷ Nhu vàng","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD022","AD42 Thọ Dơi trắng","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD053","AD74 Kim Dung Đỏ","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD024","AD43 Yên Dung trắng","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD052","AD73 Ngọc Diệp","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD051","AD72 Mộc Lam Hồng","Havana","100.000 đ","200.000 đ","Freesize","","240.000 đ","0,00%","","",""
"AD026","AD45 Yếm Tơ vàng","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD050","AD71 Như Ý Hồng","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD028","AD47 Tơ Hạc","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD049","AD69 Tâm Giao Xanh","Havana","100.000 đ","200.000 đ","Freesize","","80.000 đ","0,00%","","",""
"AD030","AD48 Hạ Vy","YM Concept","150.000 đ","300.000 đ","L","","0 đ","0,00%","","",""
"AD048","AD68 Trúc Lam Xanh","Havana","100.000 đ","200.000 đ","Freesize","","220.000 đ","0,00%","","",""
"AD047","AD67 Minh Châu Xanh","Havana","100.000 đ","200.000 đ","Freesize","","100.000 đ","0,00%","","",""
"AD032","AD49 Yếm Tơ hồng","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD046","AD65 Trúc Anh Trắng","Havana","100.000 đ","200.000 đ","Freesize","","72.000 đ","0,00%","","",""
"AD034","AD51 Mộc Lam hồng","Havana","100.000 đ","200.000 đ","Freesize","","160.000 đ","0,00%","","",""
"AD045","AD64 Minh Châu Be","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD036","AD51 Mộc Lam tím","Havana","100.000 đ","200.000 đ","Freesize","","260.000 đ","0,00%","","",""
"AD044","AD59 Du Miên Đỏ","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD038","AD52 Tâm Giao be","Havana","100.000 đ","200.000 đ","Freesize","","582.000 đ","0,00%","","",""
"AD040","AD56 Hạ Chi","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD055","AD77 Châu Hoa","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD054","AD76 Khả Ái","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD056","AD78 Lưu Ly","Tiinstore","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/ao_dai_luuly.jpg?raw=true","",""
"T157","AD6 Nguyệt Ảnh","Tiinstore","150.000 đ","300.000 đ","Freesize","","108.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/ao_dai_nguyetanh.jpg?raw=true","",""
"T156","AD79 Thanh Tiêu","Tiinstore","150.000 đ","300.000 đ","Freesize","","290.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/ao_dai_thanhtieu.jpg?raw=true","",""
"T158","AD80 Kim Châu","Tiinstore","150.000 đ","300.000 đ","Freesize","","310.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/ao_dai_kimchau.jpg?raw=true","",""
"T001","Amy Dress S","Wonderhouse","200.000 đ","600.000 đ","S","600.000 đ","240.000 đ","40,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_amy.jpg?raw=true","",""
